"name","run.no.in.std.order","run.no","run.no.std.rp","version","threads","Blocks","time"
"596","21",596,"21.18","base","10",".18",""
"597","20",597,"20.18","seq","8",".18",""
"598","29",598,"29.18","reduction","20",".18",""
"599","23",599,"23.18","false_sharing","10",".18",""
"600","2",600,"2.18","critical","1",".18",""
"601","30",601,"30.18","seq","20",".18",""
"602","31",602,"31.18","base","40",".18",""
"603","13",603,"13.18","false_sharing","4",".18",""
"604","24",604,"24.18","reduction","10",".18",""
"605","9",605,"9.18","reduction","2",".18",""
"606","25",606,"25.18","seq","10",".18",""
"607","17",607,"17.18","critical","8",".18",""
"608","22",608,"22.18","critical","10",".18",""
"609","3",609,"3.18","false_sharing","1",".18",""
"610","18",610,"18.18","false_sharing","8",".18",""
