app,threads,metric,value,machine
false_sharing,8,time,0.230475,hype2
reduction,8,time,0.049068,hype2
seq,8,time,1.613813,hype2
base,10,time,0.790697,hype2
critical,10,time,0.193418,hype2
false_sharing,10,time,0.412629,hype2
reduction,10,time,0.049313,hype2
seq,10,time,1.612887,hype2
base,1,time,1.611031,hype2
critical,1,time,1.612431,hype2
false_sharing,1,time,1.611407,hype2
reduction,1,time,0.049055,hype2
seq,1,time,1.613688,hype2
base,2,time,1.986972,hype2
critical,2,time,0.837471,hype2
false_sharing,2,time,0.822470,hype2
reduction,2,time,0.054245,hype2
seq,2,time,1.612843,hype2
base,4,time,0.625971,hype2
critical,4,time,0.423446,hype2
false_sharing,4,time,0.780345,hype2
reduction,4,time,0.049166,hype2
seq,4,time,1.616323,hype2
base,8,time,1.232133,hype2
critical,8,time,0.234772,hype2
false_sharing,8,time,0.499350,hype2
reduction,8,time,0.049202,hype2
seq,8,time,1.616271,hype2
base,10,time,1.055179,hype2
critical,10,time,0.193359,hype2
false_sharing,10,time,0.189709,hype2
reduction,10,time,0.049248,hype2
seq,10,time,1.613981,hype2
base,1,time,1.613776,hype2
critical,1,time,1.609436,hype2
false_sharing,1,time,1.609460,hype2
reduction,1,time,0.049087,hype2
seq,1,time,1.610647,hype2
base,2,time,1.983732,hype2
critical,2,time,0.837682,hype2
false_sharing,2,time,1.348597,hype2
reduction,2,time,0.049091,hype2
seq,2,time,1.610415,hype2
base,4,time,0.712485,hype2
critical,4,time,0.423642,hype2
false_sharing,4,time,0.416021,hype2
reduction,4,time,0.049332,hype2
seq,4,time,1.610759,hype2
base,8,time,0.756428,hype2
critical,8,time,0.234583,hype2
false_sharing,8,time,0.479217,hype2
reduction,8,time,0.049146,hype2
seq,8,time,1.610878,hype2
base,10,time,0.441472,hype2
critical,10,time,0.193264,hype2
false_sharing,10,time,0.400155,hype2
reduction,10,time,0.049067,hype2
seq,10,time,1.611184,hype2
base,1,time,1.609919,hype2
critical,1,time,1.609498,hype2
false_sharing,1,time,1.609165,hype2
reduction,1,time,0.049154,hype2
seq,1,time,1.611647,hype2
base,2,time,1.981521,hype2
critical,2,time,0.838176,hype2
false_sharing,2,time,1.348744,hype2
reduction,2,time,0.049241,hype2
seq,2,time,1.610527,hype2
base,4,time,0.900195,hype2
critical,4,time,0.423289,hype2
false_sharing,4,time,0.415676,hype2
reduction,4,time,0.049252,hype2
seq,4,time,1.611347,hype2
base,8,time,1.221088,hype2
critical,8,time,0.235201,hype2
false_sharing,8,time,0.230378,hype2
reduction,8,time,0.049412,hype2
seq,8,time,1.610689,hype2
base,10,time,0.473767,hype2
critical,10,time,0.193156,hype2
false_sharing,10,time,0.462902,hype2
reduction,10,time,0.049092,hype2
seq,10,time,1.610513,hype2
base,1,time,1.609908,hype2
critical,1,time,1.610223,hype2
false_sharing,1,time,1.609457,hype2
reduction,1,time,0.049104,hype2
seq,1,time,1.611838,hype2
base,2,time,1.984714,hype2
critical,2,time,0.837669,hype2
false_sharing,2,time,0.822769,hype2
reduction,2,time,0.049271,hype2
seq,2,time,1.610259,hype2
base,4,time,1.754772,hype2
critical,4,time,0.423147,hype2
false_sharing,4,time,0.774510,hype2
reduction,4,time,0.049089,hype2
seq,4,time,1.610354,hype2
base,8,time,1.323246,hype2
critical,8,time,0.234282,hype2
false_sharing,8,time,0.230428,hype2
reduction,8,time,0.049279,hype2
seq,8,time,1.610527,hype2
base,10,time,1.056977,hype2
critical,10,time,0.193266,hype2
false_sharing,10,time,0.427823,hype2
reduction,10,time,0.049074,hype2
seq,10,time,1.608842,hype2
